x,y,z
781.0,160.0,1286.5764705882352
782.0,161.0,1286.2
783.0,162.0,1286.2
784.0,163.0,1286.2
785.0,164.0,1286.2
786.0,165.0,1286.2
787.0,166.0,1286.2
788.0,167.0,1285.8235294117646
789.0,168.0,1285.8235294117646
790.0,169.0,1285.8235294117646
791.0,170.0,1285.8235294117646
792.0,171.0,1285.4470588235295
793.0,172.0,1285.4470588235295
794.0,173.0,1285.4470588235295
795.0,174.0,1285.070588235294
796.0,175.0,1285.070588235294
797.0,176.0,1285.070588235294
798.0,177.0,1285.070588235294
799.0,178.0,1285.070588235294
800.0,179.0,1285.070588235294
801.0,180.0,1284.6941176470589
802.0,181.0,1284.6941176470589
803.0,182.0,1284.6941176470589
804.0,183.0,1284.6941176470589
805.0,184.0,1284.6941176470589
806.0,185.0,1284.6941176470589
807.0,186.0,1284.6941176470589
808.0,187.0,1284.6941176470589
809.0,188.0,1284.3176470588235
810.0,189.0,1284.3176470588235
811.0,190.0,1284.3176470588235
812.0,191.0,1283.9411764705883
813.0,192.0,1283.9411764705883
814.0,193.0,1283.9411764705883
815.0,194.0,1283.9411764705883
816.0,195.0,1283.9411764705883
817.0,196.0,1283.5647058823529
818.0,197.0,1283.5647058823529
819.0,198.0,1283.5647058823529
820.0,199.0,1283.5647058823529
821.0,200.0,1283.1882352941177
822.0,201.0,1283.1882352941177
823.0,202.0,1283.1882352941177
824.0,203.0,1282.8117647058823
825.0,204.0,1282.8117647058823
826.0,205.0,1282.8117647058823
827.0,206.0,1282.8117647058823
828.0,207.0,1282.8117647058823
829.0,208.0,1282.4352941176471
830.0,209.0,1282.4352941176471
831.0,210.0,1282.4352941176471
831.0,211.0,1282.4352941176471
830.0,212.0,1282.0588235294117
830.0,213.0,1282.0588235294117
830.0,214.0,1282.0588235294117
831.0,215.0,1282.0588235294117
832.0,216.0,1282.0588235294117
833.0,217.0,1282.0588235294117
834.0,218.0,1282.0588235294117
835.0,219.0,1282.0588235294117
836.0,220.0,1282.0588235294117
837.0,221.0,1282.0588235294117
838.0,222.0,1282.0588235294117
839.0,223.0,1282.0588235294117
839.0,224.0,1282.0588235294117
838.0,225.0,1282.0588235294117
837.0,226.0,1282.0588235294117
836.0,227.0,1281.6823529411765
837.0,228.0,1281.6823529411765
838.0,229.0,1281.6823529411765
838.0,230.0,1281.6823529411765
837.0,231.0,1281.6823529411765
836.0,232.0,1281.6823529411765
835.0,233.0,1281.6823529411765
834.0,234.0,1281.6823529411765
833.0,235.0,1281.6823529411765
832.0,236.0,1281.6823529411765
831.0,237.0,1281.6823529411765
830.0,238.0,1281.3058823529411
831.0,239.0,1281.3058823529411
832.0,240.0,1281.3058823529411
833.0,241.0,1281.3058823529411
834.0,242.0,1281.3058823529411
835.0,243.0,1281.3058823529411
836.0,244.0,1281.3058823529411
837.0,245.0,1281.3058823529411
837.0,246.0,1281.3058823529411
836.0,247.0,1280.929411764706
836.0,248.0,1280.929411764706
837.0,249.0,1280.929411764706
838.0,250.0,1280.929411764706
839.0,251.0,1280.929411764706
840.0,252.0,1280.929411764706
841.0,253.0,1280.929411764706
841.0,254.0,1280.929411764706
840.0,255.0,1280.929411764706
839.0,256.0,1280.929411764706
838.0,257.0,1280.5529411764705
839.0,258.0,1280.5529411764705
840.0,259.0,1280.5529411764705
839.0,260.0,1280.5529411764705
838.0,261.0,1280.5529411764705
837.0,262.0,1280.5529411764705
836.0,263.0,1280.5529411764705
835.0,264.0,1280.5529411764705
834.0,265.0,1280.1764705882354
834.0,266.0,1280.1764705882354
835.0,267.0,1280.1764705882354
836.0,268.0,1280.1764705882354
837.0,269.0,1280.1764705882354
836.0,270.0,1280.1764705882354
835.0,271.0,1280.1764705882354
834.0,272.0,1280.1764705882354
833.0,273.0,1279.8
834.0,274.0,1279.8
835.0,275.0,1279.8
836.0,276.0,1279.8
837.0,277.0,1279.8
837.0,278.0,1279.8
836.0,279.0,1279.8
835.0,280.0,1279.8
834.0,281.0,1279.8
833.0,282.0,1279.8
832.0,283.0,1279.4235294117648
832.0,284.0,1279.4235294117648
833.0,285.0,1279.4235294117648
834.0,286.0,1279.8
835.0,287.0,1279.4235294117648
836.0,288.0,1279.4235294117648
837.0,289.0,1279.4235294117648
838.0,290.0,1279.4235294117648
839.0,291.0,1279.4235294117648
840.0,292.0,1279.4235294117648
841.0,293.0,1279.4235294117648
842.0,294.0,1279.4235294117648
843.0,295.0,1279.4235294117648
844.0,296.0,1279.4235294117648
845.0,297.0,1279.4235294117648
846.0,298.0,1279.4235294117648
