x,y,z
781.0,160.0,1286.5764705882352
782.0,161.0,1286.2
783.0,162.0,1286.2
783.0,163.0,1286.2
783.0,164.0,1286.2
783.0,165.0,1286.2
783.0,166.0,1286.2
783.0,167.0,1286.2
783.0,168.0,1286.2
783.0,169.0,1286.2
783.0,170.0,1286.2
783.0,171.0,1286.2
783.0,172.0,1286.2
783.0,173.0,1286.2
783.0,174.0,1286.2
783.0,175.0,1286.2
783.0,176.0,1286.2
782.0,177.0,1286.2
781.0,178.0,1286.2
780.0,179.0,1286.2
779.0,180.0,1286.2
778.0,181.0,1286.2
777.0,182.0,1286.2
776.0,183.0,1286.2
775.0,184.0,1286.2
774.0,185.0,1286.2
773.0,186.0,1286.2
772.0,187.0,1286.2
771.0,188.0,1286.2
770.0,189.0,1286.2
769.0,189.0,1286.2
768.0,190.0,1286.2
767.0,190.0,1286.2
766.0,190.0,1286.2
765.0,191.0,1286.2
764.0,192.0,1286.2
763.0,193.0,1286.2
762.0,193.0,1286.2
761.0,194.0,1286.2
760.0,195.0,1286.2
759.0,195.0,1286.2
758.0,195.0,1286.2
757.0,196.0,1286.2
756.0,197.0,1286.2
755.0,198.0,1286.2
754.0,199.0,1286.2
753.0,199.0,1286.2
752.0,199.0,1286.2
751.0,200.0,1286.2
750.0,200.0,1286.2
749.0,200.0,1286.2
748.0,201.0,1286.2
747.0,201.0,1286.2
746.0,201.0,1286.2
745.0,201.0,1286.2
744.0,202.0,1286.2
743.0,202.0,1286.2
742.0,202.0,1286.2
741.0,203.0,1286.2
740.0,204.0,1286.2
739.0,204.0,1286.2
738.0,204.0,1286.2
737.0,204.0,1286.2
736.0,204.0,1286.2
735.0,204.0,1286.2
734.0,204.0,1286.2
733.0,205.0,1286.2
732.0,206.0,1286.2
731.0,206.0,1286.2
730.0,206.0,1286.2
729.0,206.0,1286.2
728.0,206.0,1286.2
727.0,206.0,1286.2
726.0,206.0,1286.2
725.0,206.0,1286.2
724.0,207.0,1286.2
723.0,207.0,1286.2
722.0,207.0,1286.2
721.0,207.0,1286.2
720.0,207.0,1286.2
719.0,207.0,1286.2
718.0,207.0,1286.2
717.0,207.0,1286.2
716.0,207.0,1286.2
715.0,207.0,1286.2
714.0,207.0,1286.2
713.0,207.0,1286.2
712.0,207.0,1286.2
711.0,207.0,1286.2
710.0,208.0,1286.2
709.0,209.0,1285.8235294117646
708.0,210.0,1285.8235294117646
707.0,211.0,1285.8235294117646
706.0,211.0,1285.8235294117646
705.0,211.0,1285.8235294117646
704.0,212.0,1285.8235294117646
703.0,213.0,1285.4470588235295
702.0,214.0,1285.4470588235295
701.0,215.0,1285.4470588235295
700.0,216.0,1285.4470588235295
699.0,217.0,1285.070588235294
698.0,218.0,1285.070588235294
697.0,219.0,1285.070588235294
696.0,220.0,1285.070588235294
695.0,221.0,1284.6941176470589
694.0,222.0,1284.6941176470589
694.0,223.0,1284.6941176470589
694.0,224.0,1284.6941176470589
693.0,225.0,1284.6941176470589
692.0,226.0,1284.3176470588235
691.0,227.0,1284.3176470588235
690.0,228.0,1284.3176470588235
689.0,229.0,1284.3176470588235
688.0,230.0,1284.3176470588235
687.0,231.0,1284.3176470588235
686.0,231.0,1284.3176470588235
685.0,231.0,1284.3176470588235
684.0,232.0,1284.3176470588235
683.0,233.0,1284.3176470588235
682.0,233.0,1284.3176470588235
681.0,233.0,1284.3176470588235
680.0,234.0,1284.3176470588235
679.0,235.0,1284.3176470588235
678.0,235.0,1284.3176470588235
677.0,235.0,1284.3176470588235
676.0,236.0,1284.3176470588235
675.0,236.0,1284.3176470588235
674.0,236.0,1284.3176470588235
673.0,237.0,1284.3176470588235
672.0,238.0,1284.3176470588235
671.0,239.0,1284.3176470588235
670.0,240.0,1284.3176470588235
669.0,241.0,1284.3176470588235
668.0,242.0,1284.3176470588235
667.0,243.0,1284.3176470588235
666.0,244.0,1284.3176470588235
666.0,245.0,1284.3176470588235
666.0,246.0,1284.3176470588235
666.0,247.0,1284.3176470588235
666.0,248.0,1284.3176470588235
666.0,249.0,1284.3176470588235
666.0,250.0,1284.3176470588235
666.0,251.0,1284.3176470588235
665.0,252.0,1284.3176470588235
664.0,253.0,1284.3176470588235
663.0,254.0,1284.3176470588235
662.0,255.0,1284.3176470588235
661.0,256.0,1284.3176470588235
660.0,257.0,1284.3176470588235
659.0,258.0,1284.3176470588235
658.0,259.0,1284.3176470588235
657.0,260.0,1284.3176470588235
656.0,261.0,1284.3176470588235
655.0,262.0,1284.3176470588235
654.0,263.0,1284.3176470588235
653.0,264.0,1284.3176470588235
