x,y,z
781.5,160.5,1286.8727843137256
782.5,161.5,1286.4993333333334
783.5,162.5,1286.4993333333334
784.5,163.5,1286.4993333333334
785.5,164.5,1286.4993333333334
786.5,165.5,1286.4993333333334
787.5,166.5,1286.4993333333334
788.5,167.5,1286.1258823529413
789.5,168.5,1286.1258823529413
790.5,169.5,1286.1258823529413
791.5,170.5,1286.1258823529413
792.5,171.5,1285.7524313725492
793.5,172.5,1285.7524313725492
794.5,173.5,1285.7524313725492
795.5,174.5,1285.378980392157
796.5,175.5,1285.378980392157
797.5,176.5,1285.378980392157
798.5,177.5,1285.378980392157
799.5,178.5,1285.378980392157
800.5,179.5,1285.378980392157
801.5,180.5,1285.0055294117647
802.5,181.5,1285.0055294117647
803.5,182.5,1285.0055294117647
804.5,183.5,1285.0055294117647
805.5,184.5,1285.0055294117647
806.5,185.5,1285.0055294117647
807.5,186.5,1285.0055294117647
808.5,187.5,1285.0055294117647
809.5,188.5,1284.6320784313725
810.5,189.5,1284.6320784313725
811.5,190.5,1284.6320784313725
812.5,191.5,1284.2586274509804
813.5,192.5,1284.2586274509804
814.5,193.5,1284.2586274509804
815.5,194.5,1284.2586274509804
816.5,195.5,1284.2586274509804
817.5,196.5,1283.8851764705882
818.5,197.5,1283.8851764705882
819.5,198.5,1283.8851764705882
820.5,199.5,1283.8851764705882
821.5,200.5,1283.511725490196
822.5,201.5,1283.511725490196
823.5,202.5,1283.511725490196
824.5,203.5,1283.138274509804
825.5,204.5,1283.138274509804
826.5,205.5,1283.138274509804
827.5,206.5,1283.138274509804
828.5,207.5,1283.138274509804
829.5,208.5,1282.7648235294118
830.5,209.5,1282.7648235294118
831.5,210.5,1282.7648235294118
831.5,211.5,1282.7648235294118
830.5,212.5,1282.3913725490197
830.5,213.5,1282.3913725490197
830.5,214.5,1282.3913725490197
831.5,215.5,1282.3913725490197
832.5,216.5,1282.3913725490197
833.5,217.5,1282.3913725490197
834.5,218.5,1282.3913725490197
835.5,219.5,1282.3913725490197
836.5,220.5,1282.3913725490197
837.5,221.5,1282.3913725490197
838.5,222.5,1282.3913725490197
839.5,223.5,1282.3913725490197
839.5,224.5,1282.3913725490197
838.5,225.5,1282.3913725490197
